Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Bartholomew County, IN",18005,15,83779,Unreliable,Unreliable
,"Boone County, IN",18011,13,67843,Unreliable,Unreliable
,"Clark County, IN",18019,19,118302,Unreliable,Unreliable
,"Clinton County, IN",18023,10,32399,Unreliable,Unreliable
,"Delaware County, IN",18035,25,114135,21.9,21.2
,"Elkhart County, IN",18039,30,206341,14.5,14.2
,"Floyd County, IN",18043,13,78522,Unreliable,Unreliable
,"Hamilton County, IN",18057,40,338011,11.8,12.3
,"Hancock County, IN",18059,13,78168,Unreliable,Unreliable
,"Hendricks County, IN",18063,18,170311,Unreliable,Unreliable
,"Henry County, IN",18065,10,47972,Unreliable,Unreliable
,"Howard County, IN",18067,12,82544,Unreliable,Unreliable
,"Johnson County, IN",18081,24,158167,15.2,14.7
,"Lake County, IN",18089,50,485493,10.3,10
,"La Porte County, IN",18091,21,109888,19.1,16.7
,"Madison County, IN",18095,29,129569,22.4,22.7
,"Marion County, IN",18097,125,964582,13,13
,"Monroe County, IN",18105,19,148431,Unreliable,Unreliable
,"Morgan County, IN",18109,17,70489,Unreliable,Unreliable
,"Porter County, IN",18127,26,170389,15.3,13.8
,"St. Joseph County, IN",18141,45,271826,16.6,16.6
,"Tippecanoe County, IN",18157,26,195732,13.3,11.9
,"Vanderburgh County, IN",18163,35,181451,19.3,19.7
,"Vigo County, IN",18167,14,107038,Unreliable,Unreliable
,"Warrick County, IN",18173,10,62998,Unreliable,Unreliable
,"Wayne County, IN",18177,12,65884,Unreliable,Unreliable
,"Black Hawk County, IA",19013,22,131228,16.8,18.3
,"Cerro Gordo County, IA",19033,12,42450,Unreliable,Unreliable
,"Dallas County, IA",19049,12,93453,Unreliable,Unreliable
,"Dubuque County, IA",19061,16,97311,Unreliable,Unreliable
,"Johnson County, IA",19103,10,151140,Unreliable,Unreliable
,"Lee County, IA",19111,12,33657,Unreliable,Unreliable
,"Linn County, IA",19113,45,226706,19.8,19.9
,"Polk County, IA",19153,95,490161,19.4,19
,"Pottawattamie County, IA",19155,23,93206,24.7,23.6
,"Scott County, IA",19163,28,172943,16.2,16.5
,"Story County, IA",19169,14,97117,Unreliable,Unreliable
,"Wapello County, IA",19179,14,34969,Unreliable,Unreliable
,"Woodbury County, IA",19193,14,103107,Unreliable,Unreliable
,"Crawford County, KS",20037,10,38818,Unreliable,Unreliable
,"Douglas County, KS",20045,14,122259,Unreliable,Unreliable
